release_date,title,overview,popularity,vote_count,vote_average,original_language,genre,poster_url
15-11-2021,Shadow Strike 46,A fearless hero fights against powerful enemies to save lives.,120.57,11574,6.6,en,Action,https://example.com/action_34.jpg
17-01-2025,Heart Beats 41,A heartfelt love story filled with emotions and connections.,180.04,10982,6.8,es,Romance,https://example.com/romance_35.jpg
04-03-2023,Future Earth 22,A futuristic adventure exploring technology and unknown worlds.,141.47,11600,7.5,ja,Sci-Fi,https://example.com/sci-fi_36.jpg
04-12-2016,The Heist 42,"A gripping tale of crime, investigation, and justice.",31.33,3571,7.5,es,Crime,https://example.com/crime_37.jpg
15-07-2022,Alien Code 18,A futuristic adventure exploring technology and unknown worlds.,134.75,8354,7.4,ja,Sci-Fi,https://example.com/sci-fi_38.jpg
15-07-2024,Rapid Fire 7,A fearless hero fights against powerful enemies to save lives.,171.1,13174,6.1,en,Action,https://example.com/action_39.jpg
28-01-2026,Alien Code 23,A futuristic adventure exploring technology and unknown worlds.,198.04,23170,8.1,ja,Sci-Fi,https://example.com/sci-fi_40.jpg
30-07-2021,Hidden Truth 30,A suspenseful story packed with twists and intense moments.,117.28,8796,8.2,en,Thriller,https://example.com/thriller_41.jpg
30-12-2021,Haunted Souls 38,A terrifying experience where dark forces haunt the living.,117.45,13036,5.9,en,Horror,https://example.com/horror_42.jpg
10-04-2025,Underworld 21,"A gripping tale of crime, investigation, and justice.",183.39,10086,8,es,Crime,https://example.com/crime_43.jpg
29-10-2021,The Heist 7,"A gripping tale of crime, investigation, and justice.",116.95,6081,8.4,es,Crime,https://example.com/crime_44.jpg
19-03-2017,Love Forever 36,A heartfelt love story filled with emotions and connections.,33.55,2784,7.3,hi,Romance,https://example.com/romance_45.jpg
03-10-2021,Drama Queen 39,"A light-hearted story full of humor, chaos, and fun moments.",119.86,13304,7.3,en,Comedy,https://example.com/comedy_46.jpg
19-06-2019,Deadly Secret 44,A suspenseful story packed with twists and intense moments.,78.95,7263,7.6,en,Thriller,https://example.com/thriller_47.jpg
17-03-2020,Love Forever 21,A heartfelt love story filled with emotions and connections.,88.2,9525,6.5,hi,Romance,https://example.com/romance_48.jpg
14-11-2017,Night Terror 15,A terrifying experience where dark forces haunt the living.,50.62,3796,6.9,en,Horror,https://example.com/horror_49.jpg
03-06-2019,Alien Code 37,A futuristic adventure exploring technology and unknown worlds.,75.11,5407,6.6,ja,Sci-Fi,https://example.com/sci-fi_50.jpg
26-09-2016,Final Assault 34,A fearless hero fights against powerful enemies to save lives.,30.94,2011,7.7,hi,Action,https://example.com/action_51.jpg
09-09-2022,The Last Hope 12,"An emotional journey of relationships, struggles, and life lessons.",134.49,13717,7.2,hi,Drama,https://example.com/drama_52.jpg
22-11-2024,Broken Lives 38,"An emotional journey of relationships, struggles, and life lessons.",178.11,17632,7.8,en,Drama,https://example.com/drama_53.jpg
24-02-2026,Broken Lives 5,"An emotional journey of relationships, struggles, and life lessons.",202.76,20276,7,hi,Drama,https://example.com/drama_54.jpg
23-09-2023,Crazy Days 10,"A light-hearted story full of humor, chaos, and fun moments.",149.89,12440,5.6,en,Comedy,https://example.com/comedy_55.jpg
17-11-2024,Rapid Fire 27,A fearless hero fights against powerful enemies to save lives.,169.99,12579,6.1,hi,Action,https://example.com/action_56.jpg
19-11-2017,Galaxy War 19,A futuristic adventure exploring technology and unknown worlds.,50.39,5542,7.2,ja,Sci-Fi,https://example.com/sci-fi_57.jpg
02-08-2025,Drama Queen 43,"A light-hearted story full of humor, chaos, and fun moments.",188.83,19449,5.6,hi,Comedy,https://example.com/comedy_58.jpg
23-09-2021,Dark Woods 40,A terrifying experience where dark forces haunt the living.,120.59,9767,7.4,ko,Horror,https://example.com/horror_59.jpg
28-08-2017,Final Assault 36,A fearless hero fights against powerful enemies to save lives.,40.94,2456,7.6,hi,Action,https://example.com/action_60.jpg
15-08-2025,The Chase 21,A suspenseful story packed with twists and intense moments.,183.5,12845,8.4,en,Thriller,https://example.com/thriller_61.jpg
03-04-2026,Haunted Souls 32,A terrifying experience where dark forces haunt the living.,202.67,15402,7.5,ko,Horror,https://example.com/horror_62.jpg
01-06-2024,The Heist 3,"A gripping tale of crime, investigation, and justice.",170.53,16882,7.7,es,Crime,https://example.com/crime_63.jpg
27-05-2025,Heart Beats 16,A heartfelt love story filled with emotions and connections.,188.02,15981,6.6,hi,Romance,https://example.com/romance_64.jpg
18-11-2023,The Heist 18,"A gripping tale of crime, investigation, and justice.",155.54,10421,7.4,es,Crime,https://example.com/crime_65.jpg
28-06-2021,Crazy Days 32,"A light-hearted story full of humor, chaos, and fun moments.",111.7,9829,7,hi,Comedy,https://example.com/comedy_66.jpg
29-03-2022,Broken Lives 17,"An emotional journey of relationships, struggles, and life lessons.",129.61,14127,7.9,fr,Drama,https://example.com/drama_67.jpg
18-02-2018,Heart Beats 49,A heartfelt love story filled with emotions and connections.,50.12,5563,6.7,es,Romance,https://example.com/romance_68.jpg
20-04-2016,Underworld 48,"A gripping tale of crime, investigation, and justice.",14.56,1237,7.9,es,Crime,https://example.com/crime_69.jpg
05-05-2022,The Heist 12,"A gripping tale of crime, investigation, and justice.",124.6,11214,8.5,en,Crime,https://example.com/crime_70.jpg
21-07-2016,Haunted Souls 31,A terrifying experience where dark forces haunt the living.,26.22,1468,6.8,ko,Horror,https://example.com/horror_71.jpg
05-04-2018,Haunted Souls 24,A terrifying experience where dark forces haunt the living.,56.86,5287,7.7,ko,Horror,https://example.com/horror_72.jpg
21-03-2026,Deadly Secret 9,A suspenseful story packed with twists and intense moments.,201.58,12296,6.9,ko,Thriller,https://example.com/thriller_73.jpg
24-09-2018,Eternal ??? 34,A heartfelt love story filled with emotions and connections.,58.33,2916,7.8,en,Romance,https://example.com/romance_74.jpg
20-07-2025,Final Assault 20,A fearless hero fights against powerful enemies to save lives.,190.48,11809,6.6,hi,Action,https://example.com/action_75.jpg
24-05-2025,Alien Code 4,A futuristic adventure exploring technology and unknown worlds.,187.03,12531,7.8,en,Sci-Fi,https://example.com/sci-fi_76.jpg
23-01-2024,The Curse 1,A terrifying experience where dark forces haunt the living.,160.79,14953,6.5,en,Horror,https://example.com/horror_77.jpg
10-09-2016,Deadly Secret 12,A suspenseful story packed with twists and intense moments.,29.24,2163,6.9,en,Thriller,https://example.com/thriller_78.jpg
18-11-2017,Broken Lives 37,"An emotional journey of relationships, struggles, and life lessons.",49.46,4599,7.6,en,Drama,https://example.com/drama_79.jpg
28-04-2024,Final Assault 32,A fearless hero fights against powerful enemies to save lives.,161.48,13241,7.4,hi,Action,https://example.com/action_80.jpg
10-05-2020,Broken Lives 50,"An emotional journey of relationships, struggles, and life lessons.",92.16,9216,7.3,hi,Drama,https://example.com/drama_81.jpg
10-09-2016,Crazy Days 37,"A light-hearted story full of humor, chaos, and fun moments.",28.15,1689,5.8,hi,Comedy,https://example.com/comedy_82.jpg
09-03-2022,Ishq Story 28,A heartfelt love story filled with emotions and connections.,123.27,14792,7.5,en,Romance,https://example.com/romance_83.jpg
25-08-2022,Deadly Secret 38,A suspenseful story packed with twists and intense moments.,138.17,16304,8.7,en,Thriller,https://example.com/thriller_84.jpg
08-10-2018,Broken Lives 38,"An emotional journey of relationships, struggles, and life lessons.",64.15,3207,7.3,en,Drama,https://example.com/drama_85.jpg
02-11-2024,War Zone 17,A fearless hero fights against powerful enemies to save lives.,176.58,20659,7.8,en,Action,https://example.com/action_86.jpg
23-03-2022,The Heist 18,"A gripping tale of crime, investigation, and justice.",129.92,10913,7.6,es,Crime,https://example.com/crime_87.jpg
05-11-2023,Underworld 35,"A gripping tale of crime, investigation, and justice.",160.28,13142,7.5,es,Crime,https://example.com/crime_88.jpg
30-11-2019,Drama Queen 16,"A light-hearted story full of humor, chaos, and fun moments.",88.52,8143,6,en,Comedy,https://example.com/comedy_89.jpg
29-06-2017,Underworld 20,"A gripping tale of crime, investigation, and justice.",37.27,2124,8.6,en,Crime,https://example.com/crime_90.jpg
12-05-2023,Hidden Truth 11,A suspenseful story packed with twists and intense moments.,148.28,13641,8.1,ko,Thriller,https://example.com/thriller_91.jpg
05-04-2022,The Last Hope 29,"An emotional journey of relationships, struggles, and life lessons.",123.03,12179,8,en,Drama,https://example.com/drama_92.jpg
12-07-2017,Galaxy War 20,A futuristic adventure exploring technology and unknown worlds.,37.43,4117,8.2,ja,Sci-Fi,https://example.com/sci-fi_93.jpg
07-05-2019,Fading Memories 6,"An emotional journey of relationships, struggles, and life lessons.",71.03,3835,8.1,en,Drama,https://example.com/drama_94.jpg
23-08-2024,Hidden Truth 24,A suspenseful story packed with twists and intense moments.,171.2,11641,7.7,en,Thriller,https://example.com/thriller_95.jpg
14-10-2024,Laugh Riot 45,"A light-hearted story full of humor, chaos, and fun moments.",172.04,13591,5.9,en,Comedy,https://example.com/comedy_96.jpg
25-04-2023,Night Terror 11,A terrifying experience where dark forces haunt the living.,145.29,7990,6.7,en,Horror,https://example.com/horror_97.jpg
08-06-2021,Underworld 4,"A gripping tale of crime, investigation, and justice.",113.09,5654,8.6,en,Crime,https://example.com/crime_98.jpg
31-12-2018,Galaxy War 4,A futuristic adventure exploring technology and unknown worlds.,68.11,5721,7,en,Sci-Fi,https://example.com/sci-fi_99.jpg
24-02-2023,Dark Justice 45,"A gripping tale of crime, investigation, and justice.",138.97,15425,8.9,en,Crime,https://example.com/crime_100.jpg
19-11-2023,Fun Unlimited 27,"A light-hearted story full of humor, chaos, and fun moments.",158.45,16478,5.7,hi,Comedy,https://example.com/comedy_101.jpg
18-09-2025,Dark Woods 27,A terrifying experience where dark forces haunt the living.,194.42,18081,7.3,en,Horror,https://example.com/horror_102.jpg
16-08-2018,The Curse 33,A terrifying experience where dark forces haunt the living.,60.6,7272,7.6,ko,Horror,https://example.com/horror_103.jpg
02-11-2016,Shadow Strike 6,A fearless hero fights against powerful enemies to save lives.,30.69,1780,6.8,en,Action,https://example.com/action_104.jpg
10-12-2025,Deadly Secret 5,A suspenseful story packed with twists and intense moments.,193.51,16061,8.6,ko,Thriller,https://example.com/thriller_105.jpg
26-11-2021,Haunted Souls 42,A terrifying experience where dark forces haunt the living.,122.74,7855,7.5,en,Horror,https://example.com/horror_106.jpg
11-12-2018,The Curse 12,A terrifying experience where dark forces haunt the living.,64.85,6031,7,ko,Horror,https://example.com/horror_107.jpg
30-12-2025,Crazy Days 23,"A light-hearted story full of humor, chaos, and fun moments.",197.22,10255,7.3,en,Comedy,https://example.com/comedy_108.jpg
04-06-2016,Rapid Fire 10,A fearless hero fights against powerful enemies to save lives.,24.43,1441,7.3,en,Action,https://example.com/action_109.jpg
03-11-2022,Underworld 13,"A gripping tale of crime, investigation, and justice.",140.8,8588,8.4,en,Crime,https://example.com/crime_110.jpg
19-08-2016,Deadly Secret 15,A suspenseful story packed with twists and intense moments.,19.68,1554,7.6,ko,Thriller,https://example.com/thriller_111.jpg
07-12-2021,Eternal ??? 49,A heartfelt love story filled with emotions and connections.,122.57,7354,6.6,en,Romance,https://example.com/romance_112.jpg
05-06-2019,Future Earth 4,A futuristic adventure exploring technology and unknown worlds.,79.51,8110,7.5,ja,Sci-Fi,https://example.com/sci-fi_113.jpg
22-09-2019,Haunted Souls 28,A terrifying experience where dark forces haunt the living.,78.36,7444,7.1,ko,Horror,https://example.com/horror_114.jpg
13-01-2019,Rapid Fire 9,A fearless hero fights against powerful enemies to save lives.,67.08,6842,7,en,Action,https://example.com/action_115.jpg
23-01-2017,Drama Queen 15,"A light-hearted story full of humor, chaos, and fun moments.",35.37,2122,6.3,en,Comedy,https://example.com/comedy_116.jpg
25-08-2024,The Heist 15,"A gripping tale of crime, investigation, and justice.",168.96,15037,7.3,es,Crime,https://example.com/crime_117.jpg
15-08-2019,Night Terror 6,A terrifying experience where dark forces haunt the living.,81.05,8510,7.7,ko,Horror,https://example.com/horror_118.jpg
19-07-2023,Shadow Strike 16,A fearless hero fights against powerful enemies to save lives.,150.69,9342,7.8,en,Action,https://example.com/action_119.jpg
28-08-2019,Dark Justice 33,"A gripping tale of crime, investigation, and justice.",75.41,4222,8.1,es,Crime,https://example.com/crime_120.jpg
23-08-2023,Time Loop 37,A futuristic adventure exploring technology and unknown worlds.,156.02,17942,8.3,en,Sci-Fi,https://example.com/sci-fi_121.jpg
25-08-2018,Dark Justice 27,"A gripping tale of crime, investigation, and justice.",65.83,3554,8.6,en,Crime,https://example.com/crime_122.jpg
11-12-2019,Haunted Souls 1,A terrifying experience where dark forces haunt the living.,82.2,5178,6.2,en,Horror,https://example.com/horror_123.jpg
09-01-2025,Ishq Story 36,A heartfelt love story filled with emotions and connections.,172.38,13100,7.5,hi,Romance,https://example.com/romance_124.jpg
05-11-2019,The Last Hope 17,"An emotional journey of relationships, struggles, and life lessons.",87.38,4893,7.6,fr,Drama,https://example.com/drama_125.jpg
23-04-2017,Dark Woods 30,A terrifying experience where dark forces haunt the living.,38.4,4032,5.9,en,Horror,https://example.com/horror_126.jpg
23-01-2023,Eternal ??? 36,A heartfelt love story filled with emotions and connections.,139.71,9081,7.8,en,Romance,https://example.com/romance_127.jpg
04-01-2023,Ishq Story 36,A heartfelt love story filled with emotions and connections.,138.1,9528,7.3,es,Romance,https://example.com/romance_128.jpg
16-10-2025,Fading Memories 21,"An emotional journey of relationships, struggles, and life lessons.",188.11,12791,7.1,hi,Drama,https://example.com/drama_129.jpg
03-03-2026,Dark Woods 37,A terrifying experience where dark forces haunt the living.,202.65,17427,7.3,ko,Horror,https://example.com/horror_130.jpg
27-05-2025,Dark Woods 40,A terrifying experience where dark forces haunt the living.,180.35,18756,6.6,en,Horror,https://example.com/horror_131.jpg
31-03-2019,Rapid Fire 32,A fearless hero fights against powerful enemies to save lives.,74.73,7996,6.5,en,Action,https://example.com/action_132.jpg
10-12-2024,Haunted Souls 9,A terrifying experience where dark forces haunt the living.,180.66,21317,7.5,en,Horror,https://example.com/horror_133.jpg
17-08-2024,Haunted Souls 38,A terrifying experience where dark forces haunt the living.,167.23,10033,5.9,ko,Horror,https://example.com/horror_134.jpg
02-11-2016,Dark Woods 14,A terrifying experience where dark forces haunt the living.,29.13,2155,6.9,en,Horror,https://example.com/horror_135.jpg
09-05-2017,The Chase 8,A suspenseful story packed with twists and intense moments.,37.58,2893,7.4,en,Thriller,https://example.com/thriller_136.jpg
25-04-2019,Heart Beats 7,A heartfelt love story filled with emotions and connections.,72.98,8757,7.4,es,Romance,https://example.com/romance_137.jpg
14-08-2019,Alien Code 26,A futuristic adventure exploring technology and unknown worlds.,74.25,6534,6.9,ja,Sci-Fi,https://example.com/sci-fi_138.jpg
30-12-2017,Future Earth 19,A futuristic adventure exploring technology and unknown worlds.,52.7,4795,7.8,ja,Sci-Fi,https://example.com/sci-fi_139.jpg
25-12-2021,Fading Memories 7,"An emotional journey of relationships, struggles, and life lessons.",117.56,11756,7.9,en,Drama,https://example.com/drama_140.jpg
26-01-2025,Deadly Secret 5,A suspenseful story packed with twists and intense moments.,174.25,16728,8.7,ko,Thriller,https://example.com/thriller_141.jpg
30-07-2020,Dark Justice 8,"A gripping tale of crime, investigation, and justice.",98.14,9519,9,en,Crime,https://example.com/crime_142.jpg
24-01-2019,Silent Tears 44,"An emotional journey of relationships, struggles, and life lessons.",71.26,6912,7.6,hi,Drama,https://example.com/drama_143.jpg
07-09-2021,Drama Queen 32,"A light-hearted story full of humor, chaos, and fun moments.",119.07,6548,6.7,hi,Comedy,https://example.com/comedy_144.jpg
27-06-2016,Deadly Secret 25,A suspenseful story packed with twists and intense moments.,17.95,1382,8.7,en,Thriller,https://example.com/thriller_145.jpg
17-06-2018,Eternal ??? 1,A heartfelt love story filled with emotions and connections.,52.59,4522,7.5,hi,Romance,https://example.com/romance_146.jpg
28-08-2017,Shadow Strike 6,A fearless hero fights against powerful enemies to save lives.,44.97,5036,7.3,hi,Action,https://example.com/action_147.jpg
08-03-2017,Silent Tears 21,"An emotional journey of relationships, struggles, and life lessons.",34.11,3206,8.5,hi,Drama,https://example.com/drama_148.jpg
08-08-2021,Haunted Souls 20,A terrifying experience where dark forces haunt the living.,112.98,13218,6.3,en,Horror,https://example.com/horror_149.jpg
14-01-2022,Fading Memories 43,"An emotional journey of relationships, struggles, and life lessons.",118.05,12041,8.2,hi,Drama,https://example.com/drama_150.jpg
23-06-2024,Rapid Fire 1,A fearless hero fights against powerful enemies to save lives.,167.16,12369,7.6,hi,Action,https://example.com/action_151.jpg
14-12-2025,Laugh Riot 5,"A light-hearted story full of humor, chaos, and fun moments.",197.43,19545,6.4,en,Comedy,https://example.com/comedy_152.jpg
09-04-2018,The Heist 28,"A gripping tale of crime, investigation, and justice.",58.7,5048,7.4,en,Crime,https://example.com/crime_153.jpg
30-04-2018,The Heist 44,"A gripping tale of crime, investigation, and justice.",53.05,6100,8.1,en,Crime,https://example.com/crime_154.jpg
18-06-2019,Underworld 32,"A gripping tale of crime, investigation, and justice.",79.77,9093,7.6,es,Crime,https://example.com/crime_155.jpg
18-03-2026,War Zone 5,A fearless hero fights against powerful enemies to save lives.,203.4,24001,6.1,en,Action,https://example.com/action_156.jpg
18-06-2020,Hidden Truth 20,A suspenseful story packed with twists and intense moments.,91.04,4916,7.7,ko,Thriller,https://example.com/thriller_157.jpg
01-06-2020,Alien Code 19,A futuristic adventure exploring technology and unknown worlds.,88.83,6218,7.9,ja,Sci-Fi,https://example.com/sci-fi_158.jpg
21-01-2019,Mind Trap 28,A suspenseful story packed with twists and intense moments.,66.22,3774,7.8,en,Thriller,https://example.com/thriller_159.jpg
30-08-2016,Shadow Strike 32,A fearless hero fights against powerful enemies to save lives.,25.61,2228,7.8,hi,Action,https://example.com/action_160.jpg
18-06-2022,Fading Memories 35,"An emotional journey of relationships, struggles, and life lessons.",131.57,9078,7.1,fr,Drama,https://example.com/drama_161.jpg
15-04-2023,Hidden Truth 5,A suspenseful story packed with twists and intense moments.,145.57,14265,7.1,ko,Thriller,https://example.com/thriller_162.jpg
04-06-2021,Broken Lives 11,"An emotional journey of relationships, struggles, and life lessons.",112.36,6629,8.2,en,Drama,https://example.com/drama_163.jpg
07-11-2016,Heart Beats 32,A heartfelt love story filled with emotions and connections.,25.57,2020,7,en,Romance,https://example.com/romance_164.jpg
15-08-2020,Heart Beats 8,A heartfelt love story filled with emotions and connections.,92.15,6911,7.6,es,Romance,https://example.com/romance_165.jpg
06-02-2023,Hidden Truth 39,A suspenseful story packed with twists and intense moments.,138.94,16394,8.6,ko,Thriller,https://example.com/thriller_166.jpg
17-09-2021,The Chase 36,A suspenseful story packed with twists and intense moments.,118.39,8405,8.5,en,Thriller,https://example.com/thriller_167.jpg
24-08-2023,City Crime 37,"A gripping tale of crime, investigation, and justice.",152.91,16973,7.4,en,Crime,https://example.com/crime_168.jpg
02-11-2024,Fun Unlimited 40,"A light-hearted story full of humor, chaos, and fun moments.",170.32,12433,6.3,en,Comedy,https://example.com/comedy_169.jpg
16-07-2019,Dark Justice 30,"A gripping tale of crime, investigation, and justice.",80.59,6930,8.9,es,Crime,https://example.com/crime_170.jpg
27-12-2021,Fun Unlimited 49,"A light-hearted story full of humor, chaos, and fun moments.",124.24,10187,6.2,en,Comedy,https://example.com/comedy_171.jpg
01-03-2023,The Heist 12,"A gripping tale of crime, investigation, and justice.",141.12,12277,8.5,es,Crime,https://example.com/crime_172.jpg
03-09-2017,Broken Lives 27,"An emotional journey of relationships, struggles, and life lessons.",40.35,3913,8.7,hi,Drama,https://example.com/drama_173.jpg
03-09-2025,The Curse 4,A terrifying experience where dark forces haunt the living.,188.73,14343,6.1,en,Horror,https://example.com/horror_174.jpg
26-05-2025,Hidden Truth 42,A suspenseful story packed with twists and intense moments.,188.11,17870,7.1,en,Thriller,https://example.com/thriller_175.jpg
22-02-2018,Alien Code 13,A futuristic adventure exploring technology and unknown worlds.,50.92,6059,8.4,en,Sci-Fi,https://example.com/sci-fi_176.jpg
13-10-2022,Laugh Riot 18,"A light-hearted story full of humor, chaos, and fun moments.",140.98,9022,6.1,hi,Comedy,https://example.com/comedy_177.jpg
30-11-2019,Night Terror 24,A terrifying experience where dark forces haunt the living.,83.87,7464,6.1,en,Horror,https://example.com/horror_178.jpg
15-12-2019,Drama Queen 32,"A light-hearted story full of humor, chaos, and fun moments.",85.53,9664,7.3,en,Comedy,https://example.com/comedy_179.jpg
31-01-2020,Heart Beats 1,A heartfelt love story filled with emotions and connections.,82.75,4965,7.3,hi,Romance,https://example.com/romance_180.jpg
08-04-2020,Silent Tears 11,"An emotional journey of relationships, struggles, and life lessons.",88.11,10132,9,hi,Drama,https://example.com/drama_181.jpg
05-09-2019,Haunted Souls 46,A terrifying experience where dark forces haunt the living.,74.83,7857,7.4,ko,Horror,https://example.com/horror_182.jpg
05-04-2019,Hidden Truth 20,A suspenseful story packed with twists and intense moments.,67.44,7216,7.5,en,Thriller,https://example.com/thriller_183.jpg
14-12-2024,Eternal ??? 49,A heartfelt love story filled with emotions and connections.,180,14220,6.3,en,Romance,https://example.com/romance_184.jpg
14-06-2021,Ishq Story 33,A heartfelt love story filled with emotions and connections.,109.88,12306,7.4,es,Romance,https://example.com/romance_185.jpg
28-05-2021,Silent Tears 30,"An emotional journey of relationships, struggles, and life lessons.",111.23,10121,8.8,en,Drama,https://example.com/drama_186.jpg
10-01-2022,The Chase 29,A suspenseful story packed with twists and intense moments.,124.67,7106,8.1,en,Thriller,https://example.com/thriller_187.jpg
28-12-2024,City Crime 13,"A gripping tale of crime, investigation, and justice.",176.65,15191,8.6,en,Crime,https://example.com/crime_188.jpg
24-03-2021,Crazy Days 49,"A light-hearted story full of humor, chaos, and fun moments.",108.49,6943,6.5,hi,Comedy,https://example.com/comedy_189.jpg
11-01-2026,Night Terror 45,A terrifying experience where dark forces haunt the living.,196.03,13134,7.8,en,Horror,https://example.com/horror_190.jpg
20-08-2024,Haunted Souls 22,A terrifying experience where dark forces haunt the living.,166.95,17362,6.5,en,Horror,https://example.com/horror_191.jpg
15-05-2019,Future Earth 32,A futuristic adventure exploring technology and unknown worlds.,70.23,6180,7.2,ja,Sci-Fi,https://example.com/sci-fi_192.jpg
03-10-2019,Time Loop 2,A futuristic adventure exploring technology and unknown worlds.,81.74,6375,6.7,ja,Sci-Fi,https://example.com/sci-fi_193.jpg
05-08-2018,Deadly Secret 11,A suspenseful story packed with twists and intense moments.,64.4,6826,8.1,en,Thriller,https://example.com/thriller_194.jpg
24-05-2021,Hidden Truth 32,A suspenseful story packed with twists and intense moments.,107.86,8844,7.1,en,Thriller,https://example.com/thriller_195.jpg
18-08-2018,Silent Tears 21,"An emotional journey of relationships, struggles, and life lessons.",62.35,5237,7.6,fr,Drama,https://example.com/drama_196.jpg
06-12-2017,Drama Queen 33,"A light-hearted story full of humor, chaos, and fun moments.",51.88,5654,6,en,Comedy,https://example.com/comedy_197.jpg
23-07-2019,City Crime 19,"A gripping tale of crime, investigation, and justice.",80.3,5299,9.2,es,Crime,https://example.com/crime_198.jpg
